datetime,contract,open,close,high,low,return_close,signal,time,orig_sig,real_sig,strat_return,op_pos,cl_pos,transfee,strat_ret_cumsum,bench_return,bench_ret_cumsum,date
2021-04-30 09:30:00,IFZL.CFE,5145.0,5145.0,5145.0,5145.0,0.0,0,09:30:00,0,0,0.0,0,0,0.0,0.0,0.0,0.0,2021-04-30
2021-04-30 09:31:00,IFZL.CFE,5143.4,5151.8,5152.2,5138.2,0.00132,0,09:31:00,0,0,0.0,0,0,0.0,0.0,0.00132,0.00132,2021-04-30
2021-04-30 09:32:00,IFZL.CFE,5151.8,5147.0,5152.6,5141.4,-0.00093,0,09:32:00,0,0,0.0,0,0,0.0,0.0,-0.00093,0.00038999999999999994,2021-04-30
2021-04-30 09:33:00,IFZL.CFE,5146.4,5144.4,5147.6,5143.2,-0.00051,0,09:33:00,0,0,0.0,0,0,0.0,0.0,-0.00051,-0.0001200000000000001,2021-04-30
2021-04-30 09:34:00,IFZL.CFE,5144.6,5136.4,5145.4,5135.0,-0.00156,0,09:34:00,0,0,0.0,0,0,0.0,0.0,-0.00156,-0.00168,2021-04-30
2021-04-30 09:35:00,IFZL.CFE,5136.8,5144.2,5145.0,5135.0,0.00152,0,09:35:00,0,0,0.0,0,0,0.0,0.0,0.00152,-0.00015999999999999999,2021-04-30
2021-04-30 09:36:00,IFZL.CFE,5144.0,5139.8,5144.0,5137.4,-0.00086,0,09:36:00,0,0,0.0,0,0,0.0,0.0,-0.00086,-0.00102,2021-04-30
2021-04-30 09:37:00,IFZL.CFE,5139.2,5148.6,5150.0,5135.6,0.00171,0,09:37:00,0,0,0.0,0,0,0.0,0.0,0.00171,0.0006899999999999999,2021-04-30
2021-04-30 09:38:00,IFZL.CFE,5148.4,5145.8,5148.8,5143.2,-0.00054,1,09:38:00,1,1,-0.00054,1,0,0.0,-0.00054,-0.00054,0.00014999999999999985,2021-04-30
2021-04-30 09:39:00,IFZL.CFE,5146.4,5142.8,5150.4,5142.4,-0.00058,-1,09:39:00,-1,-1,0.00058,1,1,0.0,3.9999999999999996e-05,-0.00058,-0.00043000000000000015,2021-04-30
2021-04-30 09:40:00,IFZL.CFE,5142.2,5142.4,5146.0,5139.4,-8e-05,-1,09:40:00,-1,-1,8e-05,0,0,0.0,0.00012,-8e-05,-0.0005100000000000001,2021-04-30
2021-04-30 09:41:00,IFZL.CFE,5142.2,5135.6,5142.2,5133.0,-0.00132,-1,09:41:00,-1,-1,0.00132,0,0,0.0,0.00144,-0.00132,-0.00183,2021-04-30
2021-04-30 09:42:00,IFZL.CFE,5136.0,5137.4,5139.4,5133.6,0.00035,0,09:42:00,0,0,0.0,0,1,0.0,0.00144,0.00035,-0.00148,2021-04-30
2021-04-30 09:43:00,IFZL.CFE,5137.6,5134.4,5139.6,5133.4,-0.00058,0,09:43:00,0,0,0.0,0,0,0.0,0.00144,-0.00058,-0.00206,2021-04-30
2021-04-30 09:44:00,IFZL.CFE,5134.8,5130.6,5136.0,5129.6,-0.00074,0,09:44:00,0,0,0.0,0,0,0.0,0.00144,-0.00074,-0.0028000000000000004,2021-04-30
2021-04-30 09:45:00,IFZL.CFE,5131.2,5129.2,5133.8,5126.6,-0.00027,-1,09:45:00,-1,-1,0.00027,1,0,0.0,0.0017100000000000001,-0.00027,-0.0030700000000000002,2021-04-30
2021-04-30 09:46:00,IFZL.CFE,5128.4,5128.6,5129.4,5124.6,-0.00012,-1,09:46:00,-1,-1,0.00012,0,0,0.0,0.0018300000000000002,-0.00012,-0.00319,2021-04-30
